sample107,93,276,264,247,236,208,185,163,127,114,90
sample105,181,430,414,389,352,311,274,223,175,121,88
sample103,182,405,384,362,327,298,269,224,185,152,121
sample108,175,367,359,342,330,300,264,224,187,150,120
sample106,231,490,470,444,424,385,361,315,258,216,157
sample10,14,50,72,71,72,69,65,66,64,61,61
sample100,234,503,490,480,466,445,417,382,353,319,294
sample102,257,492,477,473,457,422,406,376,349,306,263
sample104,418,625,618,584,559,524,493,444,377,327,264
sample101,339,591,585,561,541,515,475,430,389,358,296
sample111,34,134,128,111,108,98,88,77,68,62,56
sample109,44,153,153,152,130,118,105,91,74,71,60
sample110,126,354,336,323,314,269,234,188,165,127,102
sample112,15,55,57,55,52,50,47,44,44,34,28
sample114,74,217,212,206,191,170,143,122,107,90,85
sample115,11,48,52,46,45,44,39,38,27,23,15
sample113,18,96,97,95,89,82,81,78,71,66,58
sample11,59,321,326,318,305,300,297,280,265,249,235
sample116,35,117,112,106,98,94,87,77,69,62,55
sample1,2,0,1,1,1,1,0,0,0,0,0
sample117,21,86,85,82,82,70,54,48,46,43,35
sample118,26,111,106,94,86,76,72,62,58,51,39
sample119,13,84,86,85,80,71,68,60,56,48,40
sample120,132,406,399,392,362,335,312,288,258,228,182
sample122,101,333,324,315,291,261,236,227,180,149,126
sample121,81,226,224,213,197,176,157,139,114,98,82
sample123,46,141,138,127,119,110,99,90,75,67,55
sample124,74,235,227,221,204,196,178,162,143,116,104
sample12,68,314,326,318,308,297,288,281,265,258,248
sample127,232,361,332,280,216,170,139,110,83,67,48
sample126,104,394,380,369,343,318,304,269,234,194,164
sample125,114,433,433,415,398,384,373,343,321,292,272
sample128,262,512,493,484,475,450,428,398,374,328,294
sample131,66,264,258,259,237,222,204,177,147,126,109
sample130,168,356,354,330,317,295,255,227,197,164,132
sample129,290,515,480,446,396,354,310,249,177,138,91
sample134,102,328,322,314,312,295,271,245,215,186,152
sample133,199,500,496,475,455,433,416,389,357,326,290
sample135,126,405,398,386,367,350,321,299,260,222,189
sample13,37,162,157,147,127,117,112,108,99,89,86
sample132,97,329,333,314,303,284,266,243,223,191,166
sample137,30,129,119,113,103,97,91,86,73,68,59
sample138,13,18,20,20,19,16,19,17,12,8,3
sample136,175,502,503,485,457,440,433,413,384,357,327
sample139,82,280,275,256,239,222,206,176,149,131,109
sample141,119,433,464,450,443,424,389,370,333,304,256
sample140,190,563,564,542,526,494,471,419,377,337,273
sample14,3,21,32,30,30,30,29,26,25,24,22
sample145,36,154,158,144,116,110,97,89,78,61,58
sample143,120,437,444,430,415,394,355,335,317,271,237
sample144,158,527,530,517,495,467,446,410,398,356,317
sample142,100,313,303,281,255,243,223,197,168,145,118
sample146,116,331,322,295,279,262,243,205,184,157,134
sample147,173,501,489,473,459,424,378,340,295,249,205
sample149,27,108,115,110,102,92,89,79,70,65,60
sample152,6,33,37,37,40,34,33,28,21,20,17
sample153,1,5,4,2,3,3,3,3,2,1,1
sample148,145,515,533,512,494,479,445,406,363,328,274
sample150,132,380,371,352,337,308,277,231,206,176,154
sample151,52,188,185,181,175,161,152,130,122,104,94
sample154,60,178,174,169,159,156,142,129,117,102,88
