sample195,565,744,701,665,607,546,468,373,283,219,164
sample194,315,447,414,373,317,229,184,132,96,67,44
sample193,697,883,868,841,794,739,668,577,464,370,283
sample197,817,851,842,814,754,712,642,577,481,385,302
sample196,737,853,812,774,727,691,606,522,430,351,260
sample198,779,726,567,400,257,153,76,40,7,3,1
sample200,277,306,267,233,187,161,136,106,80,53,37
sample199,440,565,535,485,422,339,254,175,133,105,74
sample201,496,681,634,562,504,425,341,252,187,127,87
sample202,506,676,648,594,550,520,465,370,299,227,170
sample205,207,262,231,180,144,101,76,43,26,18,5
sample203,520,670,624,574,516,451,377,287,221,163,106
sample204,610,749,714,662,575,488,398,305,230,181,116
sample206,756,856,836,790,757,692,598,477,370,275,196
sample207,727,857,847,818,782,731,673,602,512,413,320
sample210,309,367,295,225,171,128,83,57,28,13,6
sample208,563,743,690,660,566,484,397,303,224,163,105
sample209,707,823,795,775,710,622,520,423,303,225,144
sample211,356,449,374,288,200,118,74,35,20,14,5
sample212,456,591,541,436,349,256,185,123,73,44,22
sample214,10,4,4,4,1,0,0,0,0,0,0
sample215,22,22,18,15,10,8,7,6,5,3,3
sample213,398,592,538,490,425,372,314,229,176,144,97
sample216,102,136,114,100,87,78,62,48,33,24,14
sample217,868,901,889,880,856,829,795,740,675,607,522
sample219,1015,1010,1001,992,962,908,876,837,757,669,574
sample218,1028,1013,992,958,917,877,810,750,672,565,453
sample220,1036,1017,1004,980,958,931,883,835,768,696,596
sample223,32,38,35,25,26,21,16,15,16,12,8
sample221,966,963,953,955,928,891,866,823,776,712,640
sample222,909,940,909,893,864,827,779,737,690,605,510
sample224,438,790,786,741,704,664,602,504,417,332,268
sample226,49,49,48,32,22,15,10,5,3,2,1
sample225,732,847,830,825,801,760,718,677,626,542,478
sample227,995,974,965,951,913,875,822,781,703,620,519
sample228,759,812,800,771,720,669,581,525,428,345,272
sample232,70,20,5,4,1,0,0,0,0,0,0
sample229,929,928,910,877,854,816,745,675,586,499,382
sample230,890,895,875,863,847,809,763,722,668,581,504
sample231,960,958,961,952,933,911,876,848,795,753,652
sample235,71,98,87,71,61,53,44,34,19,17,10
sample233,633,738,721,689,624,572,490,432,375,314,253
sample234,853,873,849,838,817,778,724,619,552,469,383
sample237,70,109,108,99,85,76,59,47,38,25,24
sample236,890,934,925,910,882,852,832,787,728,659,585
sample238,248,297,268,244,214,186,164,143,119,102,80
sample240,72,104,90,85,71,55,47,35,27,23,19
sample239,912,940,932,912,913,866,836,796,748,689,596
sample241,105,108,95,90,75,66,52,41,37,27,18
sample242,822,844,807,798,756,695,646,577,507,422,338
